35.9546559,-82.0413312,Even 1
36.0852461,-82.0501544,Even 2
35.9308923,-82.0093293,Even 3
35.9398828,-82.0121423,Even 4
35.9818798,-82.0205588,Even 5
36.0266917,-82.0341545,Even 6
36.0602779,-82.0245916,Even 7
36.0828026,-82.0343805,Even 8
35.9398373,-82.0042871,Even 9
35.9685522,-81.9976293,Even 10
36.0155825,-82.0064538,Even 11
36.0362369,-82.0056166,Even 12
36.0441029,-81.9872769,Even 13
36.0608598,-81.9891347,Even 14
36.1002475,-82.008241,Even 15
36.0993268,-81.9859836,Even 16
36.14627,-82.0098017,Even 17
36.1560192,-81.9834449,Even 18
36.1770343,-81.9900695,Even 19
35.957955,-81.9694267,Even 20
35.9564193,-81.9541594,Even 21
35.976203,-81.9680278,Even 22
35.9860581,-81.9446724,Even 23
36.0201522,-81.9704123,Even 24
36.0469716,-81.9656641,Even 25
36.0313327,-81.9678998,Even 26
36.0701078,-81.9603836,Even 27
36.0983019,-81.9543979,Even 28
36.1103644,-81.9486237,Even 29
36.1539116,-81.9548885,Even 30
36.1753208,-81.9810213,Even 31
36.163704,-81.9578069,Even 32
36.1803994,-81.9491542,Even 33
36.0019499,-81.9323227,Even 34
36.0351774,-81.9408489,Even 35
36.0256551,-81.9217561,Even 36
36.043613,-81.9091866,Even 37
36.0708408,-81.9322192,Even 38
36.0781777,-81.9171836,Even 39
36.1008905,-81.9377614,Even 40
36.0926383,-81.9212262,Even 41
36.0898272,-81.9229694,Even 42
36.1148,-81.9431893,Even 43
36.1250173,-81.9297007,Even 44
36.1223945,-81.9208705,Even 45
36.1130713,-81.918186,Even 46
36.1373166,-81.9147957,Even 47
36.1654366,-81.9426701,Even 48
36.1763027,-81.9216002,Even 49
36.1819366,-81.9206251,Even 50
36.1845836,-81.9161211,Even 51
36.0090699,-81.8915272,Even 52
36.0415877,-81.8826051,Even 53
36.0243202,-81.875496,Even 54
36.0481741,-81.8866358,Even 55
36.039144,-81.8848138,Even 56
36.0704651,-81.9045664,Even 57
36.071529,-81.8939772,Even 58
36.0775107,-81.8911778,Even 59
36.068081,-81.8823351,Even 60
36.0839669,-81.8804918,Even 61
36.1157925,-81.8808408,Even 62
36.1306507,-81.9036243,Even 63
36.1594931,-81.9104448,Even 64
36.161212,-81.8889021,Even 65
36.1869177,-81.911064,Even 66
36.1859093,-81.8994492,Even 67
36.1665791,-81.890356,Even 68
36.0089655,-81.8716049,Even 69
36.0757724,-81.8499076,Even 70
36.0659629,-81.8715186,Even 71
36.1020415,-81.8693584,Even 72
36.0810423,-81.8684569,Even 73
36.1114746,-81.8689357,Even 74
